,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,miRNA,Rank
hsa-mir-142_hsa-miR-142-3p,770.8295023,0.116822228,0.217403629,0.537351783,0.591024643,0.673363457,hsa-miR-142-3p,0.020064271
hsa-mir-454_hsa-miR-454-3p,36.79635773,-2.730256948,0.492892813,-5.53925088,3.0376821905148e-08,2.22934981100493e-07,hsa-miR-454-3p,-18.16118263
hsa-mir-301a_hsa-miR-301a-3p,41.07610224,0.22052251,0.275494404,0.800460941,0.423443785,0.520883974,hsa-miR-301a-3p,0.062464987
hsa-mir-21_hsa-miR-21-5p,383.231731,0.157076553,0.254368687,0.617515286,0.536894902,0.624441036,hsa-miR-21-5p,0.0321235
hsa-mir-21_hsa-miR-21-3p,3.96616812,0.795315238,0.330478553,2.406556287,0.016103722,0.030055654,hsa-miR-21-3p,1.210528501
hsa-mir-634_hsa-miR-634,509.7737388,0.749898583,0.253878794,2.953766127,0.003139218,0.007191965,hsa-miR-634,1.607146962
hsa-mir-548aa-2_hsa-miR-548aa,3.548019269,-1.902265185,0.355509995,-5.350806485,8.7563118530222e-08,6.11529521348164e-07,hsa-miR-548aa,-11.8198818
hsa-mir-548d-2_hsa-miR-548d-5p,3.397597057,-0.303524537,0.250580617,-1.211284975,0.225786205,0.314358285,hsa-miR-548d-5p,-0.152543871
hsa-mir-3615_hsa-miR-3615,39.66084818,1.101302514,0.2572553,4.280971142,1.86079489792281e-05,7.53013262430447e-05,hsa-miR-3615,4.540887635
hsa-mir-636_hsa-miR-636,5.687914413,-1.114018097,0.336168803,-3.313865194,0.000920159,0.002371599,hsa-miR-636,-2.924251498
