"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA"
"hsa-mir-3667_hsa-miR-3667-3p",2.82128544751279,-0.806548254840703,0.284342248383307,-2.83654032922128,0.00456052183100909,0.0137525463775566,"hsa-miR-3667-3p"
"hsa-mir-128-2_hsa-miR-128-2-5p",3.76811601054087,-1.06503257141817,0.339745617284421,-3.13479414372126,0.00171974746290124,0.00603078861424643,"hsa-miR-128-2-5p"
"hsa-mir-1226_hsa-miR-1226-3p",5.67228771593382,-0.558814570820546,0.202126706305249,-2.7646745995882,0.00569796043963117,0.0163552568174598,"hsa-miR-1226-3p"
"hsa-mir-4443_hsa-miR-4443",4.67261213388718,-0.656127104827792,0.283878129071341,-2.31129853847565,0.020816370699535,0.0462930666448976,"hsa-miR-4443"
"hsa-mir-191_hsa-miR-191-3p",9.94448392664954,-0.796861254714997,0.192465608342634,-4.14027867927653,3.46884146938151e-05,0.000229773687074416,"hsa-miR-191-3p"
"hsa-mir-5193_hsa-miR-5193",3.09919121878725,-1.23338924206837,0.243440976510985,-5.06648165705463,4.05235779805092e-07,5.14848736637617e-06,"hsa-miR-5193"
"hsa-mir-4446_hsa-miR-4446-3p",7.46133089073463,-1.1905348596394,0.231668840980308,-5.13895116236454,2.76276184844717e-07,3.62905158058738e-06,"hsa-miR-4446-3p"
"hsa-mir-3138_hsa-miR-3138",2.63238989325458,-0.869727327627408,0.239740421172576,-3.627787601997,0.000285860268961233,0.00126595261968546,"hsa-miR-3138"
"hsa-mir-3607_hsa-miR-3607-3p",3.03277706363954,-0.886743379714084,0.347833065617853,-2.54933606768801,0.0107928239238772,0.0273347664738719,"hsa-miR-3607-3p"
"hsa-mir-2277_hsa-miR-2277-5p",2.51318237000106,-0.729681395493976,0.320212470630628,-2.27874134338659,0.0226824455513227,0.0495180149359862,"hsa-miR-2277-5p"
"hsa-mir-2277_hsa-miR-2277-3p",2.28228130410513,-0.760630113890425,0.314685750768187,-2.4171101234601,0.0156442833018177,0.0365190348159901,"hsa-miR-2277-3p"
"hsa-mir-584_hsa-miR-584-5p",439.470236373546,-0.722765704120749,0.213804605746147,-3.38049641914122,0.000723550178856242,0.00288648577483708,"hsa-miR-584-5p"
"hsa-mir-143_hsa-miR-143-5p",92.8279323346673,-0.501229312522948,0.217701449016782,-2.30237012563159,0.0213143082200981,0.0470615067537779,"hsa-miR-143-5p"
"hsa-mir-146a_hsa-miR-146a-5p",6881.14341121859,-0.679393449969783,0.138586851271269,-4.90229371500723,9.47240641544963e-07,1.11229014726871e-05,"hsa-miR-146a-5p"
"hsa-mir-146a_hsa-miR-146a-3p",17.7477437728027,-0.81173905617553,0.193448074981384,-4.19615990623658,2.71478610370636e-05,0.000186191082333843,"hsa-miR-146a-3p"
"hsa-mir-1229_hsa-miR-1229-3p",2.85731754779521,-1.2225622507449,0.263145544263633,-4.64595459583415,3.38507455696381e-06,3.36337536108584e-05,"hsa-miR-1229-3p"
"hsa-mir-877_hsa-miR-877-5p",27.962301944402,-0.506665151389206,0.136107950953153,-3.72252427460022,0.000197240939104371,0.000979882870550563,"hsa-miR-877-5p"
"hsa-mir-6891_hsa-miR-6891-5p",4.56362399657091,-1.76738261483741,0.279115378659737,-6.3320861190955,2.41868413410111e-10,1.00943192689317e-08,"hsa-miR-6891-5p"
"hsa-mir-133b_hsa-miR-133b",6.44269837726564,-0.690613094150665,0.252654332744942,-2.73343063880028,0.00626783231925986,0.0174732735518935,"hsa-miR-133b"
"hsa-mir-4466_hsa-miR-4466",16.7645952134398,-1.04898951430544,0.282237166532381,-3.71669517233864,0.000201845728124921,0.000996372224820471,"hsa-miR-4466"
"hsa-mir-29b-1_hsa-miR-29b-1-5p",3.45297609385898,-0.660175390254304,0.238193015856497,-2.77159843616925,0.00557818036150878,0.0160709657255364,"hsa-miR-29b-1-5p"
"hsa-mir-490_hsa-miR-490-5p",3.00717918139591,-1.45200022325925,0.312905357490052,-4.64038147159375,3.47766601750599e-06,3.4116343842622e-05,"hsa-miR-490-5p"
"hsa-mir-490_hsa-miR-490-3p",7.49395306472494,-1.53482412766061,0.28814665330109,-5.32653810161328,1.00102289725331e-07,1.72398387860292e-06,"hsa-miR-490-3p"
"hsa-mir-671_hsa-miR-671-5p",244.257170032586,-1.64478745721883,0.279149973590109,-5.8921282924209,3.81252989999453e-09,8.69032550734046e-08,"hsa-miR-671-5p"
"hsa-mir-6842_hsa-miR-6842-3p",2.78853887528899,-1.19555857781634,0.293776551188709,-4.06961880714695,4.70901215481842e-05,0.000294313259676151,"hsa-miR-6842-3p"
"hsa-mir-4470_hsa-miR-4470",2.85358026021628,-1.28923509054307,0.290088779011129,-4.44427769642758,8.81876389952434e-06,7.59393558014596e-05,"hsa-miR-4470"
"hsa-mir-30b_hsa-miR-30b-3p",4.57533742585972,-1.15847981600717,0.22363279387068,-5.1802769887009,2.21556663010442e-07,3.06618596130522e-06,"hsa-miR-30b-3p"
"hsa-mir-30d_hsa-miR-30d-3p",3.7642980933992,-0.414210364870153,0.179337627490942,-2.30966791891498,0.0209065462267279,0.0462930666448976,"hsa-miR-30d-3p"
"hsa-mir-4665_hsa-miR-4665-5p",4.58782136120132,-1.5199814584387,0.2874030515725,-5.28867543375846,1.23205286623152e-07,1.98647351109152e-06,"hsa-miR-4665-5p"
"hsa-mir-491_hsa-miR-491-5p",34.5864659541985,-0.445738318648291,0.177725579616996,-2.50801443218737,0.0121411708147062,0.0297766056373333,"hsa-miR-491-5p"
"hsa-mir-873_hsa-miR-873-3p",5.46376991339823,-0.697774166044141,0.280997155891473,-2.48320721905682,0.0130205320199144,0.0315354335537306,"hsa-miR-873-3p"
"hsa-mir-4667_hsa-miR-4667-5p",2.93386084811611,-0.718209866663888,0.299235744608249,-2.40014730728158,0.0163884752605953,0.0380271506795249,"hsa-miR-4667-5p"
"hsa-mir-6852_hsa-miR-6852-5p",14.8365142030819,-1.56978394575067,0.204340721748174,-7.68218851495123,1.56393462928624e-14,1.51506167212104e-12,"hsa-miR-6852-5p"
"hsa-mir-1299_hsa-miR-1299",4.50712688631485,-0.766062865073102,0.333114711935623,-2.29969688406062,0.0214653987839255,0.0472604660725632,"hsa-miR-1299"
"hsa-mir-4668_hsa-miR-4668-5p",2.92420010063627,-0.810002516539373,0.315359861855786,-2.56850225571759,0.0102139047394323,0.0260387374113816,"hsa-miR-4668-5p"
"hsa-mir-4668_hsa-miR-4668-3p",2.441404124528,-0.794582249101961,0.269227405769089,-2.95134236736455,0.00316395997313795,0.0102090073558274,"hsa-miR-4668-3p"
"hsa-mir-6877_hsa-miR-6877-5p",13.6441261300958,-0.548513774509925,0.230452550041332,-2.38015927535428,0.0173051563991784,0.0395619357208356,"hsa-miR-6877-5p"
"hsa-mir-4674_hsa-miR-4674",8.625883890741,-0.989475357711059,0.315881290395782,-3.13242787020181,0.00173367020152139,0.00605222705486071,"hsa-miR-4674"
"hsa-mir-4479_hsa-miR-4479",3.05280784681796,-1.17750938111602,0.309685218104929,-3.80227828864938,0.000143371552119106,0.000752888328197421,"hsa-miR-4479"
"hsa-mir-1468_hsa-miR-1468-5p",2.63851096716764,-1.50677644845298,0.288240412013102,-5.22749894065682,1.71818382683637e-07,2.42107721054216e-06,"hsa-miR-1468-5p"
"hsa-mir-6087_hsa-miR-6087",401.611427962705,-1.0371985769672,0.28301631797935,-3.66480132443417,0.000247530658514304,0.00113999425755103,"hsa-miR-6087"
"hsa-mir-1277_hsa-miR-1277-5p",4.22989997333827,-0.667147937590818,0.291183847911884,-2.29115708984211,0.0219543297390263,0.0482000157159925,"hsa-miR-1277-5p"
"hsa-mir-766_hsa-miR-766-3p",76.0197433460881,-0.634180810705019,0.214138965386822,-2.96153859508676,0.0030610612619803,0.00996774150434763,"hsa-miR-766-3p"
"hsa-mir-766_hsa-miR-766-5p",6.49280397628555,-0.530357132358567,0.219268707448054,-2.418754315338,0.0155737549087485,0.0365190348159901,"hsa-miR-766-5p"
"hsa-mir-504_hsa-miR-504-5p",2.6492982767014,-1.20864438322287,0.273072194245162,-4.42609833111664,9.59527979354856e-06,7.97010902609916e-05,"hsa-miR-504-5p"
"hsa-mir-224_hsa-miR-224-5p",16.3579135393485,-0.748738936212373,0.23031995685549,-3.25086434729647,0.00115054740285805,0.00437095214321074,"hsa-miR-224-5p"
"hsa-mir-224_hsa-miR-224-3p",3.68009019605869,-0.842653703105804,0.223413976887808,-3.77171435218201,0.000162129796108098,0.000832123125720372,"hsa-miR-224-3p"
